Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1365766200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365766260,"75,1","75,1","75,1","75,1","0,28",21028,"75,1"
1365766320,"75,2","75,2","75,2","75,2","0,13244681","9,960000112","75,2"
1365766380,75,75,75,75,"12,24834295","918,62572125",75
1365766440,"74,52","74,52","74,52","74,52","0,16","11,9232","74,52"
1365766500,"74,52","74,52","74,52","74,52","4,94657542","368,6188003","74,52"
1365766560,"74,51","74,51","74,51","74,51","0,1",7451,"74,51"
1365766620,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365766680,"74,51",75,"74,51",75,10,"746,35110253","74,635110253"
1365766740,75,75,75,75,"12,26096667","919,57250025",75
1365766800,"74,9","74,9","74,9","74,9","1,32843792","99,500000208","74,9"
1365766860,"74,07","74,5","74,06","74,06","10,50846881","778,64394972","74,096803616"
1365766920,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365766980,"74,03","74,03",74,74,17555,"1299,082834","74,000731073"
1365767040,74,74,"73,66","73,66","4,66064242","343,4523725","73,692066791"
1365767100,"73,9","73,9","73,66","73,66","3,5569224","262,24443037","73,727903192"
1365767160,"73,66","73,66","73,66","73,66","3,08634882","227,34045408","73,66"
1365767220,"73,7","73,7","73,66","73,66","1,41300814","104,12669992","73,69150748"
1365767280,"73,67","73,67","73,67","73,67","1,65","121,5555","73,67"
1365767340,"73,67","73,67","73,66","73,66","5,21","383,8134893","73,668615988"
1365767400,"73,54","73,54","72,1","72,1","60,69831352",4432524,"73,025488568"
1365767460,"72,01","72,01","71,89","71,89","26,97578648","1940,1011387","71,920095459"
1365767520,"72,5","72,5","72,5","72,5","0,9","65,25","72,5"
1365767580,"71,9","71,9","71,89","71,89","14,127266","1015,6112167","71,890146099"
1365767640,"71,44","71,44",71,71,"10,55782309","750,02362929","71,039609481"
1365767700,71,71,"70,22","70,22","30,05544923","2124,6837256","70,692130049"
1365767760,"70,12","70,22",70,70,"102,62073705","7185,1544115","70,016593313"
1365767820,70,70,67,"67,8","6,58473088","453,560703","68,880674286"
1365767880,67,"67,8",67,67,"5,64675022","378,79706474","67,082312832"
1365767940,"66,2","66,2",66,66,"15,93271714","1052,0049716","66,02797014"
1365768000,"66,09","66,2",65,65,"73,16955699","4769,4611973","65,183682853"
1365768060,"64,99",65,"64,49","64,49","12,21851527","792,43338823","64,855129344"
1365768120,"64,5","64,5",63,64,"21,11347001","1353,7231009","64,116561618"
1365768180,"64,5",65,64,"64,5","80,12024851","5139,1280808","64,142687728"
1365768240,65,"66,27",65,"66,27","8,73780404","572,46642356","65,516051966"
1365768300,"66,2","68,28","66,2",68,"22,93396802","1546,0040869","67,411103283"
